Issue Type,Issue key,Issue id,Summary,Description,Assignee,Reporter,Priority,Status,Resolution,Created,Updated
Bug,ZOOKEEPER-670,12456204,zkpython leading to segfault on zookeeper server restart,"Zookeeper client using zkpython segfaults on zookeeper server restart. It is reliably reproducible using the attached script zk.py.
I'm able to stop segfault using the attached patch voyager.patch, but zkpython seems to have deeper issue on its use of watcher_dispatch - on zookeeper server restart, I see up to 6 invocation of watcher_dispatch while my script is simply sleeping in the main thread. This can't be right.",henryr,voyager,Critical,Resolved,Fixed,12/Feb/10 23:21,25/Apr/14 01:44
Bug,ZOOKEEPER-673,12456466,Fix observer documentation regarding leader election,We just need to remove the first two paragraphs of Section 2.,fpj,fpj,Major,Closed,Fixed,16/Feb/10 19:03,26/Mar/10 17:25
Bug,ZOOKEEPER-677,12457054,c client doesn't allow ipv6 numeric connect string,The c client doesn't handle ipv6 numeric addresses as they are colon : delmited. After splitting the host/port on : we look for the port as the second entry in the array rather than the last entry in the array.,mahadev,phunt,Critical,Closed,Fixed,22/Feb/10 18:20,26/Mar/10 17:25
Bug,ZOOKEEPER-681,12457411,Minor doc issue re unset maxClientCnxns,"Just a small issue, the doc says that ""Setting this to 0 or omitting it entirely removes the limit on concurrent connections."", but we ran without this setting, and saw: WARN  [NIOServerCxn.Factory:2181:NIOServerCnxn$Factory@226] - Too many connections from /10.76.251.190 - max is 10

Bug in doc possibly?

",phunt,vegardh,Blocker,Closed,Fixed,25/Feb/10 11:25,26/Mar/10 17:25
Bug,ZOOKEEPER-682,12457414,"Event is not processed when the watcher is set to watch ""/"" if chrooted","After the event notification response from server is received, the client will convert the server path to the client path if chrooted by:

event.setPath(serverPath.substring(chrootPath.length());

If chrootPath and serverPath are the same, then the event's path will be set to a null string.

But the key of the watcher's map is ""/"", not a null string, so the watcher will not get notified at all.",lunastorm,lunastorm,Blocker,Closed,Fixed,25/Feb/10 12:01,26/Mar/10 17:25
Bug,ZOOKEEPER-683,12457699,LogFormatter fails to parse transactional log files,"LogFormatter fails to parse txn log files - seems the tool was never updated to handle FileHeader.

It would be good to update the docs on txn log file to include detail on the file format.",phunt,phunt,Blocker,Closed,Fixed,01/Mar/10 07:04,26/Mar/10 17:25
Bug,ZOOKEEPER-684,12457960,Race in LENonTerminateTest,"testNonTermination failed during a Hudson run for ZOOKEEPER-59. After inspecting the output, it looks like server is electing 2 as a leader and leaving. Given that 2 is just a mock server, server 0 remains alone in leader election.
",henryr,fpj,Critical,Closed,Fixed,03/Mar/10 10:18,26/Mar/10 17:25
Bug,ZOOKEEPER-687,12458181,LENonterminatetest fails on some machines.,"LENonterminateTest fails with the following error:

{noformat}
2010-03-04 20:26:32,347 - INFO  [Thread-0:LeaderElection@155] - Server address: 0.0.0.0/0.0.0.0:11223
2010-03-04 20:26:32,348 - WARN  [Thread-0:LeaderElection@195] - Ignoring exception while looking for leader
java.io.IOException: Network is unreachable
	at java.net.PlainDatagramSocketImpl.send(Native Method)
	at java.net.DatagramSocket.send(DatagramSocket.java:612)
	at org.apache.zookeeper.server.quorum.LeaderElection.lookForLeader(LeaderElection.java:169)
	at org.apache.zookeeper.test.LENonTerminateTest$LEThread.run(LENonTerminateTest.java:83)
{noformat}
",mahadev,mahadev,Major,Closed,Fixed,04/Mar/10 22:12,26/Mar/10 17:25
Bug,ZOOKEEPER-688,12458264,explain session expiration better in the docs & faq,"We are not clear enough (and the diagram we do have seems misleading) on _when_ session expirations are generated. In particular the fact that you only get expirations when the client is connected to the cluster, not when disconnected.

we need to detail:

1) when do you get expiration
2) what is the sequence of events that the watcher sees, from disco state, to getting the expiration (say the expiration happens when the client is disco, what do you see in the watcher while you are getting reconnected)
3) we need to give some examples of how to test this. We should be explicit that ""pulling the network cable"" on the client will not show expiration since the cliient will not be reconnected.
",phunt,phunt,Critical,Closed,Fixed,05/Mar/10 17:10,26/Mar/10 17:25
Bug,ZOOKEEPER-689,12458487,"release build broken - ivysettings.xml not copied during ""package""","ivysettings.xml was added in 3.3.0 but it is not copied into the release artifact via ant ""package"" target of build.xml",phunt,phunt,Blocker,Closed,Fixed,09/Mar/10 01:23,26/Mar/10 17:25
Bug,ZOOKEEPER-691,12458578,Interface changed for NIOServer.Factory,"BookKeeper starts a ZooKeeper server and needs to create an NIOServer.Factory, but the constructor changed.",breed,breed,Major,Closed,Fixed,09/Mar/10 20:40,26/Mar/10 17:25
Bug,ZOOKEEPER-693,12458585,TestObserver stuck in tight notification loop in FLE,"See http://hudson.zones.apache.org/hudson/view/ZooKeeper/job/Zookeeper-Patch-h7.grid.sp2.yahoo.net/77/testReport/junit/org.apache.zookeeper.test/ObserverTest/testObserver/

     [exec]     [junit] 2010-03-04 00:23:37,803 - INFO  [QuorumPeer:/0:0:0:0:0:0:0:0:11229:FastLeaderElection@683] - Notification time out: 3200
     [exec]     [junit] 2010-03-04 00:23:37,804 - INFO  [QuorumPeer:/0:0:0:0:0:0:0:0:11229:FastLeaderElection@689] - Notification: 2, 0, 2, 3, LOOKING, LOOKING, 1

ad infinitum. ",fpj,henryr,Critical,Closed,Fixed,09/Mar/10 21:40,26/Mar/10 17:25
Bug,ZOOKEEPER-696,12458616,"NPE in the hudson logs, seems nioservercnxn closed twice","seeing the following on the console for http://hudson.zones.apache.org/hudson/view/ZooKeeper/job/ZooKeeper-trunk/729/

looks like the cnxn is closed twice? (the second time 'sock' is null). perhaps it's due to client closing and sending session term, then closing socket, server sees the read return -1, so closes cnxn, then sees the session close request (which was queued)?

    [junit] 2010-03-10 03:15:53,205 - INFO  [main:NIOServerCnxn@1232] - Closed socket connection for client /127.0.0.1:41285 which had sessionid 0x127461233fc0000
    [junit] 2010-03-10 03:15:53,206 - WARN  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:11221:NIOServerCnxn$Factory@269] - Ignoring unexpected runtime exception
    [junit] java.lang.NullPointerException
    [junit] 	at org.apache.zookeeper.server.NIOServerCnxn.close(NIOServerCnxn.java:1232)
    [junit] 	at org.apache.zookeeper.server.NIOServerCnxn.doIO(NIOServerCnxn.java:594)
    [junit] 	at org.apache.zookeeper.server.NIOServerCnxn$Factory.run(NIOServerCnxn.java:259)
",phunt,phunt,Blocker,Closed,Fixed,10/Mar/10 05:41,26/Mar/10 17:25
Bug,ZOOKEEPER-698,12458983,intermittent JMX test failures due to not verifying QuorumPeer shutdown ,"in some cases the tests are failing with JMX errors. From the logs I can see that QP was shutdown, however it did not exit it's thread until some time much later. This is causing interference with subsequent tests, causing the test to fail.

I have a patch that attempts to verify that the QP was shutdown (by joining the thread). It turns out that tests based on QuorumBase do this check (join) however some of the other tests do not. I believe this will address the issue.",phunt,phunt,Critical,Closed,Fixed,12/Mar/10 22:22,26/Mar/10 17:25
Bug,ZOOKEEPER-706,12459410,large numbers of watches can cause session re-establishment to fail,"If a client sets a large number of watches the ""set watches"" operation during session re-establishment can fail.

for example:
 WARN  [NIOServerCxn.Factory:22801:NIOServerCnxn@417] - Exception causing close of session 0xe727001201a4ee7c due to java.io.IOException: Len error 4348380

in this case the client was a web monitoring app and had set both data and child watches on > 32k znodes.

there are two issues I see here we need to fix:

1) handle this case properly (split up the set watches into multiple calls I guess...)
2) the session should have expired after the ""timeout"". however we seem to consider any message from the client as re-setting the expiration on the server side. Probably we should only consider messages from the client that are sent during an established session, otherwise we can see this situation where the session is not established however the session is not expired either. Perhaps we should create another JIRA for this particular issue.


",cthunes,phunt,Critical,Closed,Fixed,17/Mar/10 18:08,10/Dec/22 02:21
Bug,ZOOKEEPER-708,12459481,zkpython failing due to undefined symbol deallocate_String_vector,"ant test in zkpython is failing. I think this is due to mahadev's changes to remove unnecessary exports from the client lib.

     [exec] ImportError: /home/phunt/dev/workspace/gitzk/build/contrib/zkpython/lib.linux-x86_64-2.6/zookeeper.so: undefined symbol: deallocate_String_vector

Mahadev can you take a look?
",mahadev,phunt,Blocker,Closed,Fixed,18/Mar/10 05:34,26/Mar/10 17:25
Bug,ZOOKEEPER-709,12459483,bookkeeper build failing with missing factory,"ant test in bookkeeper results in

compile-test:
    [javac] Compiling 10 source files to /home/phunt/dev/workspace/gitzk/build/contrib/bookkeeper/test
    [javac] /home/phunt/dev/workspace/gitzk/src/contrib/bookkeeper/test/org/apache/bookkeeper/test/BaseTestCase.java:91: cannot find symbol
    [javac] symbol  : constructor Factory(java.lang.Integer)
    [javac] location: class org.apache.zookeeper.server.NIOServerCnxn.Factory
    [javac]         serverFactory = new NIOServerCnxn.Factory(ZooKeeperDefaultPort);
    [javac]                         ^
    [javac] 1 error

Flavio can you take a look at this one? (patch)
",phunt,phunt,Blocker,Closed,Fixed,18/Mar/10 05:57,26/Mar/10 17:25
Bug,ZOOKEEPER-710,12459507,permanent ZSESSIONMOVED error after client app reconnects to zookeeper cluster,"Originally problem was described on Users mailing list starting with this [post|http://mail-archives.apache.org/mod_mbox/hadoop-zookeeper-user/201003.mbox/<3b910d891003160743k38e2e7c9y830b182d88396d55@mail.gmail.com>].
Below I restate it in more organized form.

We occasionally (few times a day) observe that our client application disconnects from Zookeeper cluster.
Application is written in C++ and we are using libzookeeper_mt library. In version 3.2.2.

The disconnects we are observing are probably related to some problems with our network infrastructure - we are observing periods with great packet loss between machines in our DC. 

Sometimes after client application (i.e. zookeeper library) reconnects to zookeeper cluster we are observing that all subsequent requests return ZSESSIONMOVED error. Restarting client app helps - we always pass 0 as clientid to zookeeper_init function so old session is not reused.

On 16-03-2010 we observed few occurences of problem. Example ones:
- 22:08; client IP 10.1.112.60 (app1); sessionID 0x22767e1c9630000
- 14:21; client IP 10.1.112.61 (app2); sessionID 0x324dcc1ba580085

I attach logs of cluster and application nodes (only stuff concerining zookeeper):
- [^zookeeper-node1.log.2010-03-16.gz] - logs of zookeepr cluster node 1 10.1.112.62
- [^zookeeper-node2.log.2010-03-16.gz] - logs of zookeepr cluster node 2 10.1.112.63
- [^zookeeper-node3.log.2010-03-16.gz] - logs of zookeepr cluster node 3 10.1.112.64
- [^app1.log.2010-03-16.gz] - application logs of app1 10.1.112.60
- [^app2.log.2010-03-16.gz] - application logs of app2 10.1.112.61

I also made some analysis of case at 22:08:
- Network glitch which resulted in problem occurred at about 22:08.
- From what I see since 17:48 node2 was the leader and it did not
change later yesterday.
- Client was connected to node2 since 17:50
- At around 22:09 client tried to connect to every node (1,2,3).
Connections to node1 and node3 were closed
 with exception ""Exception causing close of session 0x22767e1c9630000
due to java.io.IOException: Read error"".
 Connection to node2 stood alive.
- All subsequent operations were refused with ZSESSIONMOVED error.
Error visible both on client and on server side.

",phunt,losipiuk,Blocker,Closed,Fixed,18/Mar/10 11:39,26/Mar/10 17:25
Bug,ZOOKEEPER-718,12459672,the fatjar is missing libraries,"when we moved to ivy, we didn't update the fatjar build.xml to grab libraries out of the new location that ivy uses for downloaded libraries.",breed,breed,Major,Closed,Fixed,19/Mar/10 16:09,26/Mar/10 17:25
Bug,ZOOKEEPER-719,12459682,Add throttling to BookKeeper client,Add throttling to client to control the rate of operations to bookies. ,fpj,fpj,Major,Closed,Fixed,19/Mar/10 17:35,23/Nov/11 19:22
Bug,ZOOKEEPER-720,12459786,Use zookeeper-{version}-sources.jar instead of zookeeper-{version}-src.jar to publish sources in the Maven repository,"The artifact with the sources to be published in the Maven repository should be named ${artifactId}-${version}-sources.jar not ${artifactId}-${version}-src.jar.

See also: http://maven.apache.org/guides/mini/guide-central-repository-upload.html and ZOOKEEPER-224",castagna,castagna,Trivial,Closed,Fixed,21/Mar/10 08:04,23/Nov/11 19:22
Bug,ZOOKEEPER-722,12459860,"zkServer.sh uses sh's builtin echo on BSD, behaves incorrectly.","zkServer.sh output the PID of the zookeeper process with:
echo -n $! > ""$ZOOPIDFILE""

This uses -n which sh's builtin echo does not support. From echo's manpage.
<snip>
     Some shells may provide a builtin echo command which is similar or identical to this utility.  Most notably, the builtin echo in sh(1) does not accept
     the -n option.  Consult the builtin(1) manual page.
</snip>

This means that echo -n PID > ZOOPIDFILE will mean the contents of ZOOPIDFILE will be ""-n PID"". This stops zkServer.sh stop from working correctly.",ikelly,ikelly,Minor,Closed,Fixed,22/Mar/10 14:49,23/Nov/11 19:22
Bug,ZOOKEEPER-731,12460402,"Zookeeper#delete  , #create - async versions miss a verb in the javadoc ","    /**
     * The Asynchronous version of delete. ""The request doesn't  *missing* actually until
     * the asynchronous callback is called.""
     */
    public void delete(final String path, int version, VoidCallback cb, Object ctx) .. 


Also some information in the javadoc about how to instantiate the callback objects / context would be useful . 
",thkoch,kaykay.unique,Minor,Closed,Fixed,26/Mar/10 23:12,23/Nov/11 19:22
Bug,ZOOKEEPER-732,12460641,Improper translation of error into Python exception,"Apparently errors returned by the C library are not being correctly converted into a Python exception in some cases: 

>>> zookeeper.get_children(0, ""/"", None)
Traceback (most recent call last):
  File ""<stdin>"", line 1, in <module>
SystemError: error return without exception set
",voyager,niemeyer,Minor,Closed,Fixed,29/Mar/10 22:48,13/Mar/14 18:17
Bug,ZOOKEEPER-734,12461314,QuorumPeerTestBase.java and ZooKeeperServerMainTest.java do not handle windows path correctly,"While runniing ""ant test-core-java"" QuorumPeerTestBase.java and ZooKeeperServerMainTest.java fail. The problem seems to be in ZookeeperserverMainTest.java:MainThread():66 and in QuorumPeerBaseTest.java:MainThread:76.

FileWriter.write() writes windows path to the conf file. Java does not like windows path. Therefore, the test complains that it cannot find myid and fails. 

Solution - convert windows path to UNIX path. This worked for me on windows.  Diffs are attached below. Solution not tested on Linux since for some reason build is failing (due to problems not related to this change).


vmc-floorb-dhcp116-114:/opt/zksrc/zookeeper-3.3.0/src/java/test/org/apache/zookeeper/server # svn diff
Index: ZooKeeperServerMainTest.java
===================================================================
--- ZooKeeperServerMainTest.java	(revision 931240)
+++ ZooKeeperServerMainTest.java	(working copy)
@@ -61,7 +61,8 @@
             if (!dataDir.mkdir()) {
                 throw new IOException(""unable to mkdir "" + dataDir);
             }
-            fwriter.write(""dataDir="" + dataDir.toString() + ""\n"");
+            String data = dataDir.toString().replace('\\', '/');
+            fwriter.write(""dataDir="" + data + ""\n"");
 
             fwriter.write(""clientPort="" + clientPort + ""\n"");
             fwriter.flush();
Index: quorum/QuorumPeerTestBase.java
===================================================================
--- quorum/QuorumPeerTestBase.java	(revision 931240)
+++ quorum/QuorumPeerTestBase.java	(working copy)
@@ -73,7 +73,8 @@
             if (!dataDir.mkdir()) {
                 throw new IOException(""Unable to mkdir "" + dataDir);
             }
-            fwriter.write(""dataDir="" + dataDir.toString() + ""\n"");
+            String data = dataDir.toString().replace('\\', '/');
+            fwriter.write(""dataDir="" + data + ""\n"");
 
             fwriter.write(""clientPort="" + clientPort + ""\n"");
             fwriter.write(quorumCfgSection + ""\n"");",vishalmlst,vishalmlst,Major,Closed,Fixed,06/Apr/10 22:43,23/Nov/11 19:22
Bug,ZOOKEEPER-735,12461462,cppunit test testipv6 assumes that the machine is ipv6 enabled.,The test should be fixed so that it runs only if ipv6 is enabled and does not run if ipv6 is not enabled.,mahadev,mahadev,Major,Closed,Fixed,07/Apr/10 21:26,23/Nov/11 19:22
Bug,ZOOKEEPER-737,12461726,some 4 letter words may fail with netcat (nc),"nc closes the write channel as soon as it's sent it's information, for example ""echo stat|nc localhost 2181""
in general this is fine, however the server code will close the socket as soon as it receives notice that nc has
closed it's write channel. if not all the 4 letter word result has been written back to the client yet, this will cause
some or all of the result to be lost - ie the client will not see the full result. this was introduced in 3.3.0 as part
of a change to reduce blocking of the selector by long running 4letter words.

here's an example of the logs from the server during this

echo -n stat | nc localhost 2181
2010-04-09 21:55:36,124 - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn$Factory@251] - Accepted socket connection from /127.0.0.1:42179
2010-04-09 21:55:36,124 - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@968] - Processing stat command from /127.0.0.1:42179
2010-04-09 21:55:36,125 - WARN  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@606] - EndOfStreamException: Unable to read additional data from client sessionid 0x0, likely client has closed socket
2010-04-09 21:55:36,125 - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1286] - Closed socket connection for client /127.0.0.1:42179 (no session established for client)
[phunt@gsbl90850 zookeeper-3.3.0]$ 2010-04-09 21:55:36,126 - ERROR [Thread-15:NIOServerCnxn@422] - Unexpected Exception: 
java.nio.channels.CancelledKeyException
	at sun.nio.ch.SelectionKeyImpl.ensureValid(SelectionKeyImpl.java:55)
	at sun.nio.ch.SelectionKeyImpl.interestOps(SelectionKeyImpl.java:59)
	at org.apache.zookeeper.server.NIOServerCnxn.sendBuffer(NIOServerCnxn.java:395)
	at org.apache.zookeeper.server.NIOServerCnxn$SendBufferWriter.checkFlush(NIOServerCnxn.java:907)
	at org.apache.zookeeper.server.NIOServerCnxn$SendBufferWriter.flush(NIOServerCnxn.java:945)
	at java.io.BufferedWriter.flush(BufferedWriter.java:236)
	at java.io.PrintWriter.flush(PrintWriter.java:276)
	at org.apache.zookeeper.server.NIOServerCnxn$2.run(NIOServerCnxn.java:1089)
2010-04-09 21:55:36,126 - ERROR [Thread-15:NIOServerCnxn$Factory$1@82] - Thread Thread[Thread-15,5,main] died
java.nio.channels.CancelledKeyException
	at sun.nio.ch.SelectionKeyImpl.ensureValid(SelectionKeyImpl.java:55)
	at sun.nio.ch.SelectionKeyImpl.interestOps(SelectionKeyImpl.java:64)
	at org.apache.zookeeper.server.NIOServerCnxn$SendBufferWriter.wakeup(NIOServerCnxn.java:927)
	at org.apache.zookeeper.server.NIOServerCnxn$SendBufferWriter.checkFlush(NIOServerCnxn.java:909)
	at org.apache.zookeeper.server.NIOServerCnxn$SendBufferWriter.flush(NIOServerCnxn.java:945)
	at java.io.BufferedWriter.flush(BufferedWriter.java:236)
	at java.io.PrintWriter.flush(PrintWriter.java:276)
	at org.apache.zookeeper.server.NIOServerCnxn$2.run(NIOServerCnxn.java:1089)
",mahadev,phunt,Blocker,Closed,Fixed,10/Apr/10 21:13,29/Dec/11 23:08
Bug,ZOOKEEPER-738,12461728,zookeeper.jute.h fails to compile with -pedantic ,"/home/y/include/zookeeper/zookeeper.jute.h:96: error: extra semicolon
/home/y/include/zookeeper/zookeeper.jute.h:158: error: extra semicolon
/home/y/include/zookeeper/zookeeper.jute.h:288: error: extra semicolon

the code generator needs to be updated to not output a naked semi
",jhatala,phunt,Major,Closed,Fixed,10/Apr/10 21:17,23/Nov/11 19:22
Bug,ZOOKEEPER-740,12461931,zkpython leading to segfault on zookeeper,"The program that we are implementing uses the python binding for zookeeper but sometimes it crash with segfault; here is the bt from gdb:

Program received signal SIGSEGV, Segmentation fault.
[Switching to Thread 0xad244b70 (LWP 28216)]
0x080611d5 in PyObject_Call (func=0x862fab0, arg=0x8837194, kw=0x0)
    at ../Objects/abstract.c:2488
2488    ../Objects/abstract.c: No such file or directory.
        in ../Objects/abstract.c
(gdb) bt
#0  0x080611d5 in PyObject_Call (func=0x862fab0, arg=0x8837194, kw=0x0)
    at ../Objects/abstract.c:2488
#1  0x080d6ef2 in PyEval_CallObjectWithKeywords (func=0x862fab0,
    arg=0x8837194, kw=0x0) at ../Python/ceval.c:3575
#2  0x080612a0 in PyObject_CallObject (o=0x862fab0, a=0x8837194)
    at ../Objects/abstract.c:2480
#3  0x0047af42 in watcher_dispatch (zzh=0x86174e0, type=-1, state=1,
    path=0x86337c8 """", context=0x8588660) at src/c/zookeeper.c:314
#4  0x00496559 in do_foreach_watcher (zh=0x86174e0, type=-1, state=1,
    path=0x86337c8 """", list=0xa5354140) at src/zk_hashtable.c:275
#5  deliverWatchers (zh=0x86174e0, type=-1, state=1, path=0x86337c8 """",
    list=0xa5354140) at src/zk_hashtable.c:317
#6  0x0048ae3c in process_completions (zh=0x86174e0) at src/zookeeper.c:1766
#7  0x0049706b in do_completion (v=0x86174e0) at src/mt_adaptor.c:333
#8  0x0013380e in start_thread () from /lib/tls/i686/cmov/libpthread.so.0
#9  0x002578de in clone () from /lib/tls/i686/cmov/libc.so.6",henryr,ciccio_79,Major,Resolved,Fixed,13/Apr/10 08:08,25/Apr/14 01:45
Bug,ZOOKEEPER-741,12462056,root level create on REST proxy fails,"Create /foo using the REST proxy fails.

Also upgrade to the latest Jersey/Grizzly while we are at it (fixes for func/security)",phunt,phunt,Critical,Closed,Fixed,14/Apr/10 17:12,23/Nov/11 19:22
Bug,ZOOKEEPER-742,12462196,Deallocatng None on writes,"On write operations, getting:

Fatal Python error: deallocating None
Aborted

This error happens on write operations only.  Here's the backtrace:

Fatal Python error: deallocating None

Program received signal SIGABRT, Aborted.
0x000000383fc30215 in raise () from /lib64/libc.so.6
(gdb) bt
#0  0x000000383fc30215 in raise () from /lib64/libc.so.6
#1  0x000000383fc31cc0 in abort () from /lib64/libc.so.6
#2  0x00002adbd0be8189 in Py_FatalError () from /usr/lib64/libpython2.4.so.1.0
#3  0x00002adbd0bc7493 in PyEval_EvalFrame () from /usr/lib64/libpython2.4.so.1.0
#4  0x00002adbd0bcab66 in PyEval_EvalFrame () from /usr/lib64/libpython2.4.so.1.0
#5  0x00002adbd0bcbfe5 in PyEval_EvalCodeEx () from /usr/lib64/libpython2.4.so.1.0
#6  0x00002adbd0bcc032 in PyEval_EvalCode () from /usr/lib64/libpython2.4.so.1.0
#7  0x00002adbd0be8729 in ?? () from /usr/lib64/libpython2.4.so.1.0
#8  0x00002adbd0be9bd8 in PyRun_SimpleFileExFlags () from /usr/lib64/libpython2.4.so.1.0
#9  0x00002adbd0bf000d in Py_Main () from /usr/lib64/libpython2.4.so.1.0
#10 0x000000383fc1d974 in __libc_start_main () from /lib64/libc.so.6
#11 0x0000000000400629 in _start ()
",henryr,jfray,Major,Closed,Fixed,15/Apr/10 23:21,23/Nov/11 19:22
Bug,ZOOKEEPER-746,12462711,learner outputs session id to log in dec (should be hex),"usability issue, should be in hex:

2010-04-21 11:31:13,827 - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:11354:Learner@95] - Revalidating client: 83353578391797760
",phunt,phunt,Minor,Closed,Fixed,21/Apr/10 22:10,23/Nov/11 19:22
